,index,char,x,y,height,width
0,90,T,-0.9787500095367432,0.4416666960716248,0.19,0.1
1,90,h,-0.8462499785423279,0.4500000294049581,0.19833333333333333,0.08375
2,90,e,-0.7225000071525574,0.39666669607162475,0.14666666666666667,0.08625
3,90, ,-0.6187499761581421,0.25166669607162473,0.0,0.0
4,90,t,-0.47750000476837157,0.4300000294049581,0.17833333333333334,0.085
5,90,w,-0.3662500035762787,0.39333336273829145,0.14166666666666666,0.11375
6,90,i,-0.2262500023841858,0.46166669607162475,0.21,0.08625
7,90,s,-0.10250000119209289,0.39666669607162475,0.14666666666666667,0.08125
8,90,t,0.0175,0.4300000294049581,0.17833333333333334,0.085
9,90, ,0.1237500011920929,0.25166669607162473,0.0,0.0
10,90,t,0.2650000023841858,0.4300000294049581,0.17833333333333334,0.085
11,90,h,0.3912500035762787,0.4500000294049581,0.19833333333333333,0.08375
12,90,a,0.5137500047683716,0.3950000294049581,0.145,0.08
13,90,t,0.636249976158142,0.4300000294049581,0.17833333333333334,0.085
14,90, ,0.7425000071525574,0.25166669607162473,0.0,0.0
15,90,e,-0.9700000095367431,-0.135,0.14666666666666667,0.08625
16,90,n,-0.8462499785423279,-0.13666666666666666,0.14333333333333334,0.08375
17,90,d,-0.7262500071525574,-0.08166666666666667,0.2,0.0875
18,90,s,-0.5974999761581421,-0.135,0.14666666666666667,0.08125
19,90, ,-0.4950000047683716,-0.28,0.0,0.0
20,90,t,-0.35375000357627867,-0.10166666666666667,0.17833333333333334,0.085
21,90,h,-0.2275000023841858,-0.08166666666666667,0.19833333333333333,0.08375
22,90,e,-0.10375000119209289,-0.135,0.14666666666666667,0.08625
23,90, ,0.0,-0.28,0.0,0.0
24,90,m,0.1362500011920929,-0.13666666666666666,0.14333333333333334,0.1
25,90,o,0.2650000023841858,-0.135,0.14666666666666667,0.09
26,90,v,0.3862500035762787,-0.13833333333333334,0.14166666666666666,0.09375
27,90,i,0.5162500047683716,-0.07,0.21,0.08625
28,90,e,0.6387499761581421,-0.135,0.14666666666666667,0.08625
29,90, ,0.7425000071525574,-0.28,0.0,0.0
30,90,i,0.7425000071525574,-0.28,0.0,0.0
31,90,s,0.7425000071525574,-0.28,0.0,0.0
32,90, ,0.7425000071525574,-0.28,0.0,0.0
33,90,t,0.7425000071525574,-0.28,0.0,0.0
34,90,h,0.7425000071525574,-0.28,0.0,0.0
35,90,e,0.7425000071525574,-0.28,0.0,0.0
36,90, ,0.7425000071525574,-0.28,0.0,0.0
37,90,o,0.7425000071525574,-0.28,0.0,0.0
38,90,n,0.7425000071525574,-0.28,0.0,0.0
39,90,e,0.7425000071525574,-0.28,0.0,0.0
40,90, ,0.7425000071525574,-0.28,0.0,0.0
41,90,w,0.7425000071525574,-0.28,0.0,0.0
42,90,i,0.7425000071525574,-0.28,0.0,0.0
43,90,t,0.7425000071525574,-0.28,0.0,0.0
44,90,h,0.7425000071525574,-0.28,0.0,0.0
45,90, ,0.7425000071525574,-0.28,0.0,0.0
46,90,t,0.7425000071525574,-0.28,0.0,0.0
47,90,h,0.7425000071525574,-0.28,0.0,0.0
48,90,e,0.7425000071525574,-0.28,0.0,0.0
49,90, ,0.7425000071525574,-0.28,0.0,0.0
50,90,m,0.7425000071525574,-0.28,0.0,0.0
51,90,o,0.7425000071525574,-0.28,0.0,0.0
52,90,s,0.7425000071525574,-0.28,0.0,0.0
53,90,t,0.7425000071525574,-0.28,0.0,0.0
54,90, ,0.7425000071525574,-0.28,0.0,0.0
55,90,e,0.7425000071525574,-0.28,0.0,0.0
56,90,m,0.7425000071525574,-0.28,0.0,0.0
57,90,o,0.7425000071525574,-0.28,0.0,0.0
58,90,t,0.7425000071525574,-0.28,0.0,0.0
59,90,i,0.7425000071525574,-0.28,0.0,0.0
60,90,o,0.7425000071525574,-0.28,0.0,0.0
61,90,n,0.7425000071525574,-0.28,0.0,0.0
62,90,a,0.7425000071525574,-0.28,0.0,0.0
63,90,l,0.7425000071525574,-0.28,0.0,0.0
64,90, ,0.7425000071525574,-0.28,0.0,0.0
65,90,r,0.7425000071525574,-0.28,0.0,0.0
66,90,e,0.7425000071525574,-0.28,0.0,0.0
67,90,s,0.7425000071525574,-0.28,0.0,0.0
68,90,o,0.7425000071525574,-0.28,0.0,0.0
69,90,n,0.7425000071525574,-0.28,0.0,0.0
70,90,a,0.7425000071525574,-0.28,0.0,0.0
71,90,n,0.7425000071525574,-0.28,0.0,0.0
72,90,c,0.7425000071525574,-0.28,0.0,0.0
73,90,e,0.7425000071525574,-0.28,0.0,0.0
74,90,",",0.7425000071525574,-0.28,0.0,0.0
75,90, ,0.7425000071525574,-0.28,0.0,0.0
76,90,b,0.7425000071525574,-0.28,0.0,0.0
77,90,u,0.7425000071525574,-0.28,0.0,0.0
78,90,t,0.7425000071525574,-0.28,0.0,0.0
79,90, ,0.7425000071525574,-0.28,0.0,0.0
80,90,t,0.7425000071525574,-0.28,0.0,0.0
81,90,w,0.7425000071525574,-0.28,0.0,0.0
82,90,i,0.7425000071525574,-0.28,0.0,0.0
83,90,s,0.7425000071525574,-0.28,0.0,0.0
84,90,t,0.7425000071525574,-0.28,0.0,0.0
85,90,s,0.7425000071525574,-0.28,0.0,0.0
86,90, ,0.7425000071525574,-0.28,0.0,0.0
87,90,a,0.7425000071525574,-0.28,0.0,0.0
88,90,r,0.7425000071525574,-0.28,0.0,0.0
89,90,e,0.7425000071525574,-0.28,0.0,0.0
90,90, ,0.7425000071525574,-0.28,0.0,0.0
91,90,g,0.7425000071525574,-0.28,0.0,0.0
